name,parent,value
Origin,,
bc1019474f767c4dc8228ade17734e3aec52c7e41f5f8271f1e539b7,Origin,7
c03c8226ceb0c9f9d6debc806e78b6966277bc141a452553c9e81293,Origin,10
c0c2ff3756625d896f911cbb80942c0d5b873a509d1aba04aab8549e,Origin,8
c1285f0faf6117620706e1e4adb27d73aa194c3afcba49fea1059b53,Origin,8
c441297fc0bf1831c1bac6098a1d73c03c6045a5234bda2a6d8a0da4,Origin,7
c55c75fe8e2879bab89b83b877c95337f1ac3d2ef1a44759aa90c62e,Origin,7
c661336fd58401e66ea4bf50cc688629dc153688f448c07e27744a7c,Origin,6
c66bbf968b416e8d2a4ac23e6fd6068c8959c56bcc217958f54be922,Origin,8
c92a865c0510491d686c4570896ef9ba1b00158b52e4db9b41b8a04c,Origin,6
ca43ef6cb6a7b687d5800b78baefb652581014ee975d1e62f9264277,Origin,6
ce165ea356fe8d9cd9393c17ab1cb8159794b53ffd3e7eb206a008c3,Origin,8
cf604b19632c2c7fc9af40a69e9a21d5c548bdbf00afc280e64b56fe,Origin,6
d3c0c4337bf7d1120fd62d54f1218993c7f51eb8de19bc82703d8995,Origin,6
d4083e88f1e20cc7c8f9ff5149ccda28d32d0850a10ee531c892e8e2,Origin,10
d4d9032f7fa4c1a3be58fe8b712bd6442c9dcfe0e40750c55fc82828,Origin,7
d743bcf1305f1f6de0787eac04e36adb9c90d35570a980e890a17902,Origin,6
dc6179e3063cdf60e7c65d8b6f6b4a9155b7b7e511f70bf7d1ab7b40,Origin,8
dc9e273595d20e906867e045acd84b9b150dcf8148aee67cf71a71af,Origin,9
dde380148517ae86a045a1cbef97cfb292942785e9951b9d036aacea,Origin,6
de67cac9ede42cd688e069232a9b255fd3317b9638abcbb37a1ecab4,Origin,7
de9292ab90cfea6013fddb6d0ad7c1b19db772d4c3fa884238835040,Origin,6
def83ccc6e64149fa33de149d5887000682b30016e79d238d692b8d1,Origin,7
e1208a14df4417d8c6633ec322682abc5598922e78665ab5a831cee0,Origin,6
e173cd31ecf68ca9db2fdb87cbf059e7c3a29b2c8050bc6006f2330c,Origin,6
e1f6298c39fe62c5f799b3240bab874cc8a65783b8155db3d7a80135,Origin,7
e228f281e5f8827968c5246f4ac6b31677dc42ae8cdc4806cd3ca748,Origin,8
e43396a6db264326f882dad1d7bf2167a0d8bfd89be1109a341ec9f6,Origin,8
e68f9867126af0331f0d2c29251f9dfa1fca9a6293a15c3d2daa122f,Origin,9
e7e1ed2439438809946ebfad4b6bffcfa03c5ee46251378a6aa7462c,Origin,7
eaca67f8cf9e7da2f232c348d9557fd2ca413a1ae6d07fb8e7310a45,Origin,8
ec9d371c497240c25e4be4f1b1e4b81afd4f4636722365e6a43df8ec,Origin,9
ecda793f3f1c8459de7965787883b096e46fe77eea3479597955f693,Origin,6
edc084cc563e782745191ae8c28572d76e7d4fdcc29829bdff510d05,Origin,7
eee40b8fd7527cc6d5167cf4245e6f43d54c791e010d4170cedd7eaf,Origin,7
f00175041585162cfd2793b9676ec3c77b3fe4d71e8fe77b83f9913d,Origin,8
f19e448d2450502873a91c29b2c53da0c8715c9463c5b06a300ef13e,Origin,7
f201c631ccf261c44291893d3c4ecbc3376ef82ceca8b63d06004c7a,Origin,7
f4110069b38ccdcf075d97041461b9e2d926d60c176e9e3bb45b0af4,Origin,10
f4a331f6821f38116c4364fb577a314b09b6347005895598be741307,Origin,7
f4cee6b84e691e789cdc351b9f68e7ca7139e139f36cc66f3dd1db52,Origin,6
f52f1db2b1f025439d86c1c3dee0f0d891beff6bcbab29d7e2cc54f8,Origin,9
f591d5453bbbe78e6c7c507687c2a3aa4ef6038dadce661a89750d43,Origin,6
f5c60ce6c4fa52c7fee400c955803b6d6f5e99f2758fef85c04c4249,Origin,6
f8c30b6c0359971b72155b6acfdec402e8114d72551f6f1050eaf532,Origin,7
f9c9190c0768a6f6d415bdb206a2c917557a917ee1db729a7bf8341a,Origin,6
fb671cc89be887cfd8ce7ce799d183e7d1a1fdc0d48e671997a78969,Origin,10
fc626ae4824c359ac721ee940b0ae2dbd50c9b77414e7c4d728b98e8,Origin,6
fca1a8ff2c1b02daadea0aad7bbdf637a475507981cdd04805d2a403,Origin,9
fd48064c3ec3a96beea203a641daceaa6e887220f3cba4dfe381d076,Origin,7
fe5716aeb66f5a0cad3509190dedc9faaf21459311c688e997285f4a,Origin,7
ffb030e9119271c140ebbec6d909515e99e70a76b0d5763e24d79707,Origin,7
